fn,pm,temp,rep
20150108_30C_rep1.asc,platemap_20150108.csv,30,1
20150110_30C_rep2.asc,platemap_20150110.csv,30,2
20150112_30C_rep3.asc,platemap_20150112.csv,30,3
20150113_35half_rep1.asc,platemap_20150113.csv,35.5,1
20150116_30C_rep4.asc,platemap_20150116.csv,30,4
20150119_35half_rep2.asc,platemap_20150119.csv,35.5,2
20150121_35half_rep3.asc,platemap_20150121.csv,35.5,3
20150124_37_rep1.asc,platemap_20150124.csv,37,1
20150516_38half_rep1.asc,platemap_20150516.csv,38.5,1
20150518_40C_rep1.asc,platemap_20150518.csv,40,1
20150521_40C_rep2.asc,platemap_20150521.csv,40,2
2015-05-23_25C_rep1.asc,platemap.csv,25,1
03062015_21C_rep1.asc,platemap.csv,21,1
20150608_38half_rep2.asc,platemap.csv,38.5,2
2015-06-11_37C_rep2.asc,platemap.csv,37,2
2015-06-15_38half_rep3.asc,platemap.csv,38.5,3
