Wells,row,col,Strain,Parent,Isolate Name,Location,Environment,problems
a1,A,1,YJM145,YJM128,CBS 7833,"KS, USA",Clinical,
b1,B,1,YJM189,YJM180,NCYC 431,ND,Distillery,ECM84/SSU1
c1,C,1,YJM193,YJM184,NCYC 914,ND,Distillery,
d1,D,1,YJM195,YJM182,NCYC 762,Nigeria,Palm wine,Low spore viability
e1,E,1,YJM244,YJM210,CBS 1227,Romania,Clinical,
f1,F,1,YJM248,YJM218,CBS 2910,ND,Feces,
g1,G,1,YJM270,YJM215,CBS 2807,Slovenia,Wine,
h1,H,1,YJM271,YJM214,CBS 1782,ND,Brewery,
a2,A,2,YJM320,YJM309,CBS 7837,"CA, USA",Clinical,
b2,B,2,YJM326,YJM310,CBS 7838,"CA, USA",Clinical,Aneuploid
c2,C,2,YJM428,YJM308,CBS 7836,"CA, USA",Clinical,Aneuploid
d2,D,2,YJM450,YJM440,92-123,"CA, USA",Clinical,
e2,E,2,YJM451,YJM436,B70302(b),ND,Clinical,
f2,F,2,YJM453,YJM434,B68019c,ND,Clinical,
g2,G,2,YJM456,YJM454,89-156,"CA, USA",Clinical,
h2,H,2,YJM470,YJM455,SUH,"CA, USA",Clinical,
a3,A,3,YJM541,YJM522,SUH,"CA, USA",Clinical,
b3,B,3,YJM554,YJM521,SUH,"CA, USA",Clinical,
c3,C,3,YJM555,YJM523,SUH,"CA, USA",Clinical,
d3,D,3,YJM627,Y55,J.E. Haber,ND,Laboratory,
e3,E,3,YJM681,YJM653,SUH,"CA, USA",Clinical,
f3,F,3,YJM682,YJM668,R87-91,"TX, USA",Clinical,
g3,G,3,YJM683,YJM678,R93-1871,"TX, USA",Clinical,
h3,H,3,YJM689,YJM675,R93-1017,"TX, USA",Clinical,
a4,A,4,YJM693,YJM669,R91-48,"YX, USA",Clinical,
b4,B,4,YJM969,YJM967,96-98,Italy,Clinical,ECM84/SSU1
c4,C,4,YJM972,YJM947,96-100,Italy,Clinical,ECM84/SSU1
d4,D,4,YJM975,YJM948,96-101,Italy,Clinical,
e4,E,4,YJM978,YJM954,96-109,Italy,Clinical,ECM84/SSU1
f4,F,4,YJM981,YJM955,96-110,Italy,Clinical,ECM84/SSU1
g4,G,4,YJM984,YJM956,96-112,Italy,Clinical,
h4,H,4,YJM987,YJM957,96-113,Italy,Clinical,ECM84/SSU1
a5,A,5,YJM990,YJM963,96-119,Italy,Clinical,
b5,B,5,YJM993,YJM964,96-120,Italy,Clinical,
c5,C,5,YJM996,YJM965,96-121,Italy,Clinical,ECM84/SSU1
d5,D,5,YJM1077,SK1 (YJM1076),ATCC 204722,ND,Laboratory,
e5,E,5,YJM1078,YJM1075,NRRL YB-4348,Portugal,Clinical,
f5,F,5,YJM1083,YJM1073,"NRRL Y-10,988","NC, USA",Clinical,
g5,G,5,YJM1129,YJM1123,NCMH 125,"OH, USA",Distillery,ECM84/SSU1
h5,H,5,YJM1133,YJM1125,MMRL 125,"NC, USA",Clinical,
a6,A,6,YJM1190,YJM1107,C. Kaufman,"MI, USA",Clinical,
b6,B,6,YJM1199,YJM1115,C. Kaufman,"MI, USA",Clinical,
c6,C,6,YJM1202,YJM1116,C. Kaufman,"MI, USA",Clinical,
d6,D,6,YJM1208,YJM1119,1882,"MI, USA",Clinical,
e6,E,6,YJM1242,YJM1213,NRRL Y-35,"IL, USA",Fruit,
f6,F,6,YJM1244,YJM1215,NRRL Y-1532,Indonesia,Fruit,
g6,G,6,YJM1248,YJM1219,NRRL Y-1546,W. Africa,Wine,
h6,H,6,YJM1250,YJM1223,NRRL Y-6673*,ND,Sugar cane,Low spore viability
a7,A,7,YJM1252,YJM1224,NRRL Y-6679*,Spain,Alpechin,
b7,B,7,YJM1273,YPS134,P. Sniegowski,"PA, USA",Oak tree,
c7,C,7,YJM1281,YPS163 (=YPS608),P. Sniegowski,"PA, USA",Oak,
d7,D,7,YJM1290,Sigma1278b,,ND,Laboratory,
e7,E,7,YJM1293,RM11,L. Hartwell,,Wine,
f7,F,7,YJM1304,YJM676,R93-1092,"TX, USA",Clinical,
g7,G,7,YJM1307,YJM1071,NRRL Y-961,"DC, USA",Clinical,
h7,H,7,YJM1311,YJM1101,C. Kaufman,"MI, USA",Clinical,
a8,A,8,YJM1326,YJM1289,J. Bakken,"MN, USA",Clinical,
b8,B,8,YJM1332,YJM1284,M1-2,Italy,Wine,
c8,C,8,YJM1336,YJM1285,M28s2,Italy,Wine,
d8,D,8,YJM1338,YJM1315,NRRL Y-963,"MD, USA",Sour fig,
e8,E,8,YJM1341,YJM1323,NRRL Y-12637,South Africa,Wine,
f8,F,8,YJM1342,YJM1324,NRRL Y-12638,South Africa,Soil,low spore viability
