experiment,strain,series,image,cell,first,second,nuclei,mitos,cell.cycle,notes
exp012116,CMY178-30C,1,1,cell1,1,6,,tc,,
exp012116,CMY178-30C,1,2,cell1,1,6,,tc,,
exp012116,CMY178-30C,1,3,cell1,2,6,,n,,
exp012116,CMY178-30C,1,4,cell1,2,8,,t,,
exp012116,CMY178-30C,1,5,cell1,1,1,,n,,
exp012116,CMY178-30C,1,6,cell1,1,4,,tc,,
exp012116,CMY178-30C,1,7,cell1,1,6,,tc,,
exp012116,CMY178-30C,1,8,cell1,4,8,,t,,
exp012116,CMY178-30C,1,9,cell1,1,5,,t,,
exp012116,CMY178-30C,1,10,cell1,1,1,,n,,
exp012116,CMY178-30C,1,11,cell1,2,6,,c,,
exp012116,CMY178-30C,1,12,cell1,1,6,,t,,
exp012116,CMY178-30C,1,13,cell1,2,7,,t,,
exp012116,CMY178-30C,1,14,cell1,1,5,,c,,
exp012116,CMY178-30C,1,15,cell1,2,6,,t,,
exp012116,CMY178-30C,1,16,cell1,2,4,,t,,
exp012116,CMY178-30C,1,17,cell1,2,NA,,NA,,
exp012116,CMY178-30C,1,18,cell1,2,5,,t,,
exp012116,CMY178-30C,1,19,cell1,1,6,,c,,
exp012116,CMY178-30C,1,20,cell1,4,6,,t,,
exp012116,CMY178-30C,1,21,cell1,3,6,,tc,,
exp012116,CMY178-30C,1,22,cell1,2,4,,t,,
exp012116,CMY178-30C,1,23,cell1,4,8,,t,,
exp012116,CMY178-30C,1,24,cell1,5,5,,t,,
exp012116,CMY178-30C,1,24,cell2,1,2,,t,,
exp012116,CMY178-30C,1,25,cell1,1,5,,t,,
exp012116,CMY178-30C,1,26,cell1,3,9,,c,,
exp012116,CMY178-30C,1,27,cell1,1,4,,t,,
exp012116,CMY178-30C,1,28,cell1,2,6,,t,,
exp012116,CMY178-30C,1,29,cell1,2,6,,tc,,
exp012116,CMY178-30C,1,30,cell1,2,5,,t,,
exp012116,CMY178-30C,1,31,cell1,2,6,,t,,
exp012116,CMY178-30C,1,32,cell1,2,6,,tc,,
exp012116,CMY178-30C,1,33,cell1,5,9,,t,,
exp012116,CMY178-30C,1,34,cell1,4,7,,c,,
exp012116,CMY178-30C,1,35,cell1,1,4,,t,,
exp012116,CMY178-30C,1,36,cell1,2,7,,t,,
exp012116,CMY178-30C,1,37,cell1,1,5,,t,,
exp012116,CMY178-30C,1,38,cell1,7,11,,tc,,
exp012116,CMY178-30C,1,39,cell1,7,9,,c,,
exp012116,CMY178-30C,1,40,cell1,3,10,,tc,,
exp012116,CMY178-30C,1,41,cell1,2,3,,n,,
exp012116,CMY178-30C,1,41,cell2,1,4,,tc,,
exp012116,CMY178-30C,1,42,cell1,1,7,,tc,,
exp012116,CMY178-30C,1,43,cell1,2,7,,c,,
exp012116,CMY178-30C,1,44,cell1,4,10,,tc,,
exp012116,CMY178-30C,1,45,cell1,1,1,,n,,
exp012116,CMY178-30C,1,46,cell1,1,5,,c,,
exp012116,CMY178-30C,1,47,cell1,1,5,,n,,
exp012116,CMY178-30C,1,47,cell2,1,4,,t,,
exp012116,CMY178-30C,1,48,cell1,2,6,,t,,
exp012116,CMY178-30C,1,49,cell1,1,4,,tc,,
exp012116,CMY178-30C,1,50,cell1,2,7,,tc,,
exp012116,CMY178-30C,1,51,cell1,1,6,,t,,
exp012116,CMY178-30C,1,52,cell1,1,5,,c,,
exp012116,CMY178-30C,1,53,cell1,3,9,,t,,
exp012116,CMY178-30C,1,53,cell2,1,6,,t,,
exp012116,CMY178-30C,1,54,cell1,5,10,,c,,
exp012116,CMY178-30C,1,55,cell1,4,10,,t,,
exp012116,CMY178-30C,1,56,cell1,2,6,,t,,
exp012116,CMY178-30C,1,57,cell1,1,5,,t,,
exp012116,CMY178-30C,1,58,cell1,1,6,,c,,
exp012116,CMY178-30C,1,59,cell1,1,3,,tc,,
exp012116,CMY178-30C,1,60,cell1,2,8,,t,,
exp012116,CMY178-30C,1,61,cell1,3,8,,t,,
exp012116,CMY178-30C,1,62,cell1,1,1,,n,,
exp012116,CMY178-30C,1,63,cell1,1,7,,t,,
exp012116,CMY178-30C,1,64,cell1,5,10,,tc,,
exp012116,CMY178-30C,1,65,cell1,6,12,,t,,
exp012116,CMY178-30C,1,66,cell1,1,4,,tc,,
exp012116,CMY178-30C,1,67,cell1,2,7,,c,,
exp012116,CMY178-30C,1,68,cell1,3,4,,n,,
exp012116,CMY178-30C,1,69,cell1,2,5,,t,,
exp012116,CMY178-30C,1,70,cell1,3,9,,c,,
exp012116,CMY178-30C,1,70,cell2,1,1,,n,,
exp012116,CMY178-30C,1,71,cell1,3,6,,t,,
exp012116,CMY178-30C,1,72,cell1,1,4,,t,,
exp012116,CMY178-30C,1,73,cell1,1,6,,tc,,
exp012116,CMY178-30C,1,74,cell1,1,2,,n,,
exp012116,CMY178-30C,1,75,cell1,1,4,,tc,,
exp012116,CMY178-30C,1,76,cell1,1,5,,t,,
exp012116,CMY178-30C,1,77,cell1,3,7,,t,,
exp012116,CMY178-30C,1,78,cell1,2,8,,t,,
exp012116,CMY178-30C,1,79,cell1,1,5,,t,,
exp012116,CMY178-30C,1,80,cell1,2,8,,t,,
exp012116,CMY178-30C,1,81,cell1,2,6,,t,,
exp012116,CMY178-30C,1,82,cell1,2,7,,t,,
exp012116,CMY178-30C,1,83,cell1,1,6,,t,,
exp012116,CMY178-30C,1,84,cell1,1,7,,t,,
exp012116,CMY178-30C,1,85,cell1,1,5,,c,,
exp012116,CMY178-30C,1,86,cell1,5,10,,t,,
exp012116,CMY178-30C,1,87,cell1,1,5,,tc,,
exp012116,CMY178-30C,1,88,cell1,1,5,,tc,,
exp012116,CMY178-30C,1,89,cell1,1,3,,n,,
exp012116,CMY178-30C,1,90,cell1,1,7,,c,,
exp012116,CMY178-30C,1,90,cell2,1,4,,t,,
exp012116,CMY178-30C,1,91,cell1,1,6,,tc,,
exp012116,CMY178-30C,1,92,cell1,1,4,,t,,
exp012116,CMY178-30C,1,92,cell2,1,3,,t,,
exp012116,CMY178-30C,1,93,cell1,2,5,,c,,
exp012116,CMY178-30C,1,94,cell1,2,4,,n,,
exp012116,CMY178-30C,1,95,cell1,2,7,,t,,
exp012116,CMY178-30C,1,96,cell1,1,6,,t,,
exp012116,CMY178-30C,1,97,cell1,1,4,,tc,,
exp012116,CMY178-30C,1,98,cell1,2,7,,t,,
exp012116,CMY178-30C,1,99,cell1,6,10,,c,,
exp012116,CMY178-30C,1,100,cell1,2,6,,n,,
exp012116,CMY178-30C,1,101,cell1,2,7,,t,,
exp012116,CMY178-30C,1,102,cell1,3,6,,n,,
exp012116,CMY178-30C,1,103,cell1,1,3,,c,,
exp012116,CMY178-30C,1,104,cell1,2,6,,n,,
exp012116,CMY178-30C,1,105,cell1,1,8,,c,,
