"","fn","temp","rep","row","col","Strain","PMY","maxGrowth","pointOfMaxGrowthRate","maxOD"
"1","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",1,"YJM145",1489,3.27233142077565e-05,143,1.718
"2","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",2,"YJM320",1497,3.07238835783583e-05,84,1.714
"3","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",3,"YJM541",1505,3.04712024006749e-05,56,1.692
"4","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",4,"YJM693",1513,2.98532725312373e-05,103,1.671
"5","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",5,"YJM990",1521,3.23314218909731e-05,75,1.674
"6","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",6,"YJM1190",1529,3.51117195621309e-05,173,1.713
"7","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",7,"YJM1252",1537,2.99431248005375e-05,128,1.628
"8","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",8,"YJM1326",1545,3.53149077892905e-05,64,1.702
"9","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",9,"YJM1381",1553,3.8385839297268e-05,77,1.692
"10","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",10,"YJM1400",1561,3.23236063214483e-05,17,1.67
"11","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",11,"YJM1434",1569,3.19121640735653e-05,61,1.661
"12","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"A",12,"YJM1477",1577,7.31921365974176e-05,121,1.717
"13","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"B",1,"YJM189",1490,2.89779277297099e-05,146,1.595
"14","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"B",2,"YJM326",1498,3.05335414507073e-05,57,1.651
"15","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"B",3,"YJM554",1506,3.36946378619853e-05,100,1.644
"16","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"B",4,"YJM969",1514,3.19110867965831e-05,125,1.638
"17","2015_screening_for_TS/03062015_21C_rep1.asc",21,1,"B",5,"YJM993",1522,3.24692812649608e-05,110,1.664
