"# This was originally generated on 3/05/15, then annotated",,,,,
PMY,ratioMaxGrowth,maxGrowth30C,maxGrowth35halfC,maxGrowth37C,exclusion_reason
1495,0.126506301,3.81E-05,4.82E-06,8.58E-07,too_slow
1496,0.848342626,5.33E-05,4.52E-05,2.40E-05,
1499,0.870051644,4.96E-05,4.31E-05,3.28E-05,too_clumpy
1501,0.873579706,5.01E-05,4.37E-05,4.09E-05,too_clumpy
1513,0.861884632,5.33E-05,4.60E-05,2.87E-05,
1514,0.441901567,4.29E-05,1.90E-05,7.97E-06,
1515,0.200477864,4.63E-05,9.27E-06,6.14E-06,
1520,0.221952762,4.66E-05,1.03E-05,1.92E-06,
1522,0.88516098,4.51E-05,3.99E-05,4.10E-05,
1523,0.462251432,4.42E-05,2.04E-05,2.58E-06,
1524,0.667302011,3.41E-05,2.28E-05,2.51E-05,too_clumpy
1529,0.894351785,5.30E-05,4.74E-05,5.31E-05,
1540,0.282440128,4.30E-05,1.21E-05,1.10E-06,too_slow
1551,0.326460693,4.16E-05,1.36E-05,3.17E-07,too_slow
1553,0.845221585,4.43E-05,3.74E-05,2.52E-05,
1554,0.438457553,4.77E-05,2.09E-05,3.69E-06,
1555,0.806628184,5.36E-05,4.33E-05,1.48E-05,
1568,0.742056026,4.98E-05,3.70E-05,1.26E-05,
1577,0.763138397,7.68E-05,5.86E-05,4.17E-05,
1578,0.098545802,4.26E-05,4.20E-06,1.13E-06,
1579,0.8158718,4.26E-05,3.47E-05,3.34E-05,
