# See volume 5 pgs 12 and 14 for raw data
strain,temp,rep,A_threads,C_clumps,B_clumps-threads,D_no-mitos
CMY178,30,pilot,70,4,20,6
CMY177,30,pilot,92,0,8,0
CMY178,35.5,pilot,1,33,1,68
CMY177,35.5,pilot,82,1,19,4
CMY177,30,rep1,114,0,7,0
CMY178,30,rep1,50,22,34,1
CMY182,30,rep1,90,1,14,3
CMY177,35.5,rep1,85,1,8,8
CMY178,35.5,rep1,0,33,1,87
CMY182,35.5,rep1,86,0,11,7
CMY177,30,rep2,90,0,2,2
CMY178,30,rep2,59,9,31,2
CMY182,30,rep2,86,1,21,0
CMY177,35.5,rep2,77,6,14,6
CMY178,35.5,rep2,0,31,0,74
CMY182,35.5,rep2,62,6,27,8
CMY177,30,rep3,92,1,9,1
CMY178,30,rep3,49,9,42,3
CMY182,30,rep3,86,1,17,4
CMY177,35.5,rep3,83,2,14,8
CMY178,35.5,rep3,0,37,0,67
CMY182,35.5,rep3,65,10,26,5
