"treatment","temp","folder","counts_file","experiment","sampling","who_counted","strain","growth","growth1","growth2","first","last","recoveryTemp","recoveryTime"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",6,4,2,1,7,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",7,6,1,2,9,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",10,6,4,1,11,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,2,0,3,5,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,2,0,1,3,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,2,0,2,4,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",1,1,0,1,2,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",7,6,1,1,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",8,6,2,2,10,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",10,6,4,1,11,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,2,0,3,5,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",4,4,0,2,6,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,1,1,2,4,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",8,5,3,1,9,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",4,4,0,3,7,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",3,3,0,1,4,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",1,1,0,5,6,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",3,3,0,3,6,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",1,1,0,2,3,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,5,5,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",5,5,0,3,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",4,4,0,4,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,0,2,1,3,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",7,6,1,4,11,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",5,5,0,1,6,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",1,1,0,1,2,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",3,3,0,1,4,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",11,4,7,3,14,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",10,5,5,1,11,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,2,2,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,2,0,2,4,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",11,6,5,2,13,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",1,1,0,1,2,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",7,6,1,1,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",3,3,0,2,5,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",5,5,0,1,6,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,8,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,2,0,5,7,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",3,3,0,1,4,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,1,1,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",5,5,0,1,6,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",3,3,0,5,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,3,3,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",9,7,2,7,16,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",8,5,3,1,9,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,1,1,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,2,2,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",1,1,0,1,2,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",6,5,1,1,7,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,2,0,1,3,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",2,2,0,1,3,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",10,5,5,1,11,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",10,6,4,2,12,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",8,6,2,1,9,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,7,7,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",7,4,3,1,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",6,6,0,1,7,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,1,1,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",8,5,3,1,9,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",1,1,0,1,2,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",0,0,0,2,2,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",7,5,2,1,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",8,5,3,1,9,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",7,4,3,1,8,"37C recovery","6 hr recovery"
"C","37C","2014-09-19_exp091614_1513_recovery","~/git/budscar_counts/exp091614_rachel.csv","exp091614","random","RB","1513",4,4,0,1,5,"37C recovery","6 hr recovery"
