"folder","experiment_ID","counts_file","sampling","temp","media","who_counted","number_of_colors","time","strain","growth","first","last"
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,3,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,1,5
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,3,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,5,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,1,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,7,13
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,1,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",7,9,16
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",7,2,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,1,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,1,5
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,6,12
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,9,13
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,3,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",3,3,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,4,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,6,12
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,3,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",3,1,4
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,6,12
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,1,5
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,5,11
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,3,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,1,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,5,11
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,4,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",2,9,11
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,1,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,1,5
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,5,11
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",7,5,12
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,5,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,1,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,8,12
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,6,12
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",3,3,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",8,6,14
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",3,6,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",7,2,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,7,13
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",7,5,12
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,5,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,1,5
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",4,1,5
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,9,15
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,4,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,1,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,1,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,2,7
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",5,1,6
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,4,10
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,2,8
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,5,11
"2014_03_11_WGA_microscopy","first_counts","2014_03_11_counts.csv","random","30C","YPD","CSM",2,"6","CMY1",6,3,9
