"folder","experiment_ID","counts_file","sampling","temp","media","who_counted","number_of_colors","time","strain","replicate","growth","first","last"
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,1,2
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,2,3
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,1,2
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,2,3
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,4,5
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,0,3,3
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,2,3
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,3,4
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,4,5
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,3,4
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,2,3
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,4,5
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,1,2
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,0,3,3
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,3,4
"2014-03-21_WGA_calibration2","timecourse2","20140321_bud_counts_combined.csv","random","30C","YPD","CSM",2,1,"YJM1549",1,1,2,3
