"folder","experiment_ID","counts_file","sampling","temp","media","who_counted","number_of_colors","time","strain","growth","first","last"
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,8,11
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,1,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,1,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",2,3,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",1,2,3
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",1,6,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,7,10
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,2,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",7,2,9
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,4,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,2,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,2,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,3,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",7,3,10
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,5,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,2,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,1,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",4,1,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,2,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,1,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",4,1,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",4,3,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",4,1,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,2,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,1,4
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",4,2,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,1,4
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,2,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,2,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",7,2,9
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,1,4
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",2,1,3
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",0,1,1
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,1,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",1,3,4
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,2,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",2,1,3
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",1,3,4
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",4,1,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",4,3,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,3,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,3,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,1,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",0,6,6
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,3,9
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,6,9
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",7,3,10
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,3,9
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",0,5,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,3,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,5,11
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,2,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",5,2,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,2,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,2,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,1,7
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",2,1,3
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",4,1,5
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",6,2,8
"2014-05-13_37C_for_CV","37C","37C_cv_counts_recovered2.csv","random","35.5C","YPD","CSM",2,"6","1513",3,1,4
