PMY,Strain
1489,YJM145
1490,YJM189
1491,YJM193
1492,YJM195
1493,YJM244
1494,YJM248
1495,YJM270
1496,YJM271
1497,YJM320
1498,YJM326
1499,YJM428
1500,YJM450
1501,YJM451
1502,YJM453
1503,YJM456
1504,YJM470
1505,YJM541
1506,YJM554
1507,YJM555
1508,YJM627
1509,YJM681
1510,YJM682
1511,YJM683
1512,YJM689
1513,YJM693
1514,YJM969
1515,YJM972
1516,YJM975
1517,YJM978
1518,YJM981
1519,YJM984
1520,YJM987
1521,YJM990
1522,YJM993
1523,YJM996
1524,YJM1077
1525,YJM1078
1526,YJM1083
1527,YJM1129
1528,YJM1133
1529,YJM1190
1530,YJM1199
1531,YJM1202
1532,YJM1208
1533,YJM1242
1534,YJM1244
1535,YJM1248
1536,YJM1250
1537,YJM1252
1538,YJM1273
1539,YJM1281
1540,YJM1290
1541,YJM1293
1542,YJM1304
1543,YJM1307
1544,YJM1311
1545,YJM1326
1546,YJM1332
1547,YJM1336
1548,YJM1338
1549,YJM1341
1550,YJM1342
1551,YJM1355
1552,YJM1356
1553,YJM1381
1554,YJM1383
1555,YJM1385
1556,YJM1386
1557,YJM1387
1558,YJM1388
1559,YJM1389
1560,YJM1399
1561,YJM1400
1562,YJM1401
1563,YJM1402
1564,YJM1415
1565,YJM1417
1566,YJM1418
1567,YJM1419
1568,YJM1433
1569,YJM1434
1570,YJM1439
1571,YJM1443
1572,YJM1444
1573,YJM1447
1574,YJM1450
1575,YJM1460
1576,YJM1463
1577,YJM1477
1578,YJM1478
1579,YJM1479
1580,YJM1519
1581,YJM1523
1582,YJM1524
1583,YJM1526
1584,YJM1527
1585,YJM1529
1586,YJM1549
1587,YJM1552
1588,YJM1573
1589,YJM1574
1590,YJM1578
1591,YJM1592
1592,YJM1615
,
